,time,rank,score
177,2022/2/19 21:38,3,8400
178,2022/2/17 01:31,2,31600
179,2022/2/17 01:14,2,32200
180,2022/2/17 00:37,1,36700
181,2022/2/17 00:07,3,21100
182,2022/2/16 23:23,2,40900
183,2022/2/16 21:35,1,44300
184,2022/2/16 20:52,1,33100
185,2022/2/16 00:51,4,2300
186,2022/2/15 23:47,2,24900
187,2022/2/15 23:12,2,22500
188,2022/2/15 22:50,2,30600
189,2022/2/14 23:27,1,34700
190,2022/2/14 22:50,1,36300
191,2022/2/14 01:35,2,33600
192,2022/2/14 00:56,3,22000
193,2022/2/14 00:17,4,17500
194,2022/2/13 23:33,1,41500
195,2022/2/13 23:23,2,37900
196,2022/2/13 15:26,1,36300
197,2022/2/13 14:59,2,29800
198,2022/2/13 00:19,2,19400
199,2022/2/13 00:01,3,19500
200,2022/2/12 23:20,1,35500
201,2022/2/11 22:59,1,40400
202,2022/2/11 22:01,2,28600
203,2022/2/11 15:39,2,42300
204,2022/2/11 14:54,2,34000
205,2022/2/11 14:33,3,30000
206,2022/2/11 12:43,1,72300
207,2022/2/11 12:22,2,40500
208,2022/2/11 11:21,1,54700
209,2022/2/11 01:17,2,33800
210,2022/2/11 00:41,3,20000
211,2022/2/11 00:11,2,23000
212,2022/2/10 23:10,4,22400
213,2022/2/10 22:23,1,44400
214,2022/2/10 02:23,2,27100
215,2022/2/10 01:51,3,24400
216,2022/2/10 01:24,2,35200
217,2022/2/10 00:49,3,20800
218,2022/2/10 00:06,4,14800
219,2022/2/9 23:27,2,38600
220,2022/2/9 22:46,3,26100
221,2022/2/9 22:03,4,18400
222,2022/2/9 21:33,2,35000
223,2022/2/9 01:25,3,15300
224,2022/2/9 00:57,3,18000
225,2022/2/9 00:35,3,17600
226,2022/2/8 23:52,2,28400
227,2022/2/8 23:07,3,18300
228,2022/2/8 22:11,2,28700
229,2022/2/8 16:51,2,32000
230,2022/2/8 16:30,3,25100
231,2022/2/8 15:47,2,24600
232,2022/2/8 15:15,1,34100
233,2022/2/8 14:32,2,29100
234,2022/2/8 13:44,3,26000
235,2022/2/8 13:21,2,29800
236,2022/2/8 12:51,2,20200
237,2022/2/8 12:11,3,16700
238,2022/2/8 00:16,1,31500
239,2022/2/7 23:08,1,34500
240,2022/2/7 22:34,3,26500
241,2022/2/7 01:37,2,26100
242,2022/2/7 01:11,4,-3100
243,2022/2/7 00:33,4,11300
244,2022/2/7 00:12,2,27200
245,2022/2/6 22:26,3,8200
